college,member of,team
University of Florida,SEC,Florida Gators
University of Missouri,SEC,Missouri Tigers
University of Oklahoma,SEC,Oklahoma Sooners
University of Alabama,SEC,Alabama Crimson Tide
University of Washington,B1G,Washington Huskies
University of Oregon,B1G,Oregon Ducks
University of Indiana,B1G,Indiana Hoosiers
University of Maryland,B1G,Maryland Terrapins
Rutgers University,B1G,Rutgers Scarlet Knights
University of Minnesota,B1G,Minnesota Golden Gophers
Texas A&M University,SEC,Texas A&M Aggies
University of Mississippi,SEC,Ole Miss Rebels